iter	Passed	Remaining
0	57	57571
1	58	28944
2	58	19396
3	58	14607
4	59	11746
5	59	9838
6	59	8500
7	60	7473
8	60	6667
9	60	6017
10	61	5494
11	61	5059
12	61	4683
13	62	4367
14	62	4093
15	62	3853
16	62	3637
17	63	3447
18	63	3276
19	63	3121
20	63	2982
21	64	2856
22	64	2741
23	64	2634
24	65	2540
25	65	2452
26	65	2369
27	66	2295
28	66	2225
29	66	2158
30	67	2094
31	67	2035
32	67	1980
33	67	1929
34	68	1880
35	68	1833
36	68	1790
37	69	1751
38	69	1713
39	69	1675
40	70	1638
41	70	1604
42	70	1572
43	71	1543
44	71	1514
45	71	1487
46	72	1460
47	72	1433
48	72	1407
49	72	1383
50	73	1361
51	73	1338
52	73	1318
53	74	1297
54	74	1277
55	74	1258
56	74	1238
57	75	1221
58	75	1206
59	75	1190
60	76	1174
61	76	1158
62	76	1144
63	77	1129
64	77	1116
65	77	1101
66	78	1087
67	78	1074
68	78	1062
69	79	1051
70	79	1038
71	79	1027
72	80	1016
73	80	1005
74	80	994
75	80	983
76	81	973
77	81	963
78	81	953
79	82	944
80	82	935
81	82	926
82	82	915
83	83	907
84	83	898
85	83	891
86	84	883
87	84	875
88	84	867
89	85	859
90	85	852
91	85	844
92	85	837
93	86	830
94	86	823
95	86	817
96	87	811
97	87	804
98	87	798
99	88	792
100	88	786
101	88	780
102	88	774
103	89	768
104	89	762
105	89	757
106	90	752
107	90	747
108	90	741
109	90	735
110	91	730
111	91	725
112	91	720
113	92	715
114	92	711
115	92	706
116	92	701
117	93	696
118	93	692
119	93	688
120	94	684
121	94	679
122	94	675
123	94	670
124	95	666
125	95	662
126	95	658
127	96	654
128	96	650
129	96	647
130	97	644
131	97	640
132	97	637
133	98	634
134	98	630
135	98	627
136	99	623
137	99	620
138	99	617
139	99	614
140	100	610
141	100	606
142	100	603
143	101	600
144	101	597
145	101	594
146	101	590
147	102	588
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	564
156	104	561
157	104	559
158	105	556
159	105	553
160	105	550
161	105	548
162	106	545
163	106	542
164	106	540
165	107	538
166	107	535
167	107	533
168	107	530
169	108	528
170	108	525
171	108	523
172	109	521
173	109	519
174	109	517
175	110	515
176	110	513
177	110	511
178	111	509
179	111	507
180	111	505
181	112	503
182	112	501
183	112	499
184	112	497
185	113	494
186	113	492
187	113	491
188	113	488
189	114	487
190	114	485
191	114	483
192	115	481
193	115	478
194	115	476
195	115	475
196	116	473
197	116	471
198	116	469
199	117	468
200	117	466
201	117	464
202	117	462
203	118	461
204	118	459
205	118	457
206	118	455
207	119	453
208	119	452
209	119	450
210	120	448
211	120	447
212	120	445
213	120	444
214	121	443
215	121	441
216	121	439
217	122	438
218	122	436
219	122	435
220	123	433
221	123	431
222	123	430
223	123	428
224	124	427
225	124	426
226	124	424
227	125	423
228	125	422
229	125	421
230	126	419
231	126	418
232	126	417
233	127	416
234	127	414
235	127	413
236	128	412
237	128	411
238	128	409
239	128	408
240	129	407
241	129	405
242	129	404
243	130	403
244	130	402
245	130	401
246	131	399
247	131	398
248	131	397
249	131	395
250	132	394
251	132	393
252	132	392
253	133	390
254	133	389
255	133	388
256	133	387
257	134	386
258	134	385
259	134	383
260	135	382
261	135	381
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	137	373
269	137	372
270	138	371
271	138	370
272	138	369
273	138	368
274	139	367
275	139	366
276	139	364
277	140	364
278	140	363
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	144	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	149	337
306	149	337
307	149	336
308	149	335
309	150	334
310	150	333
311	150	332
312	151	331
313	151	330
314	151	330
315	152	329
316	152	328
317	152	327
318	153	327
319	153	326
320	153	325
321	154	324
322	154	323
323	154	322
324	155	322
325	155	321
326	155	320
327	156	319
328	156	318
329	156	318
330	157	317
331	157	316
332	157	315
333	157	314
334	158	314
335	158	313
336	158	312
337	159	311
338	159	310
339	159	309
340	159	309
341	160	308
342	160	307
343	160	306
344	161	306
345	161	305
346	161	304
347	162	303
348	162	302
349	162	301
350	162	301
351	163	300
352	163	299
353	163	299
354	164	298
355	164	297
356	164	296
357	165	296
358	165	295
359	165	294
360	166	293
361	166	293
362	166	292
363	166	291
364	167	290
365	167	290
366	167	289
367	168	288
368	168	287
369	168	287
370	168	286
371	169	285
372	169	285
373	169	284
374	170	283
375	170	282
376	170	282
377	171	281
378	171	280
379	171	279
380	171	279
381	172	278
382	172	277
383	172	277
384	173	276
385	173	275
386	173	275
387	174	274
388	174	274
389	174	273
390	175	272
391	175	271
392	175	271
393	175	270
394	176	269
395	176	269
396	176	268
397	176	267
398	177	267
399	177	266
400	177	265
401	178	265
402	178	264
403	178	264
404	179	263
405	179	262
406	179	261
407	180	261
408	180	260
409	180	259
410	180	259
411	181	258
412	181	257
413	181	257
414	181	256
415	182	255
416	182	254
417	182	254
418	182	253
419	182	252
420	183	252
421	183	251
422	183	250
423	183	249
424	184	249
425	184	248
426	184	247
427	184	247
428	185	246
429	185	245
430	185	244
431	185	244
432	186	243
433	186	242
434	186	242
435	186	241
436	186	240
437	187	240
438	187	239
439	187	238
440	187	237
441	187	237
442	188	236
443	188	235
444	188	235
445	188	234
446	189	233
447	189	233
448	189	232
449	189	232
450	190	231
451	190	230
452	190	230
453	190	229
454	190	228
455	191	228
456	191	227
457	191	226
458	191	226
459	192	225
460	192	224
461	192	224
462	192	223
463	192	222
464	193	222
465	193	221
466	193	221
467	193	220
468	194	219
469	194	219
470	194	218
471	194	217
472	195	217
473	195	216
474	195	216
475	195	215
476	195	214
477	196	214
478	196	213
479	196	212
480	196	212
481	197	211
482	197	211
483	197	210
484	197	209
485	197	209
486	198	208
487	198	208
488	198	207
489	198	207
490	199	206
491	199	205
